,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
708,NCT00029523,intrathecal (injected into the spinal fluid) depocyt,1290559005,Syngeneic fluid containing peripheral blood stem cells (substance),12.7859,"[414265000, 67194007]","['Fluid containing hemopoietic stem cells (substance)', 'Syngraft (substance)']",Fluid containing hemopoietic stem cells (substance)
709,NCT00029523,intrathecal methotrexate,387381009,Methotrexate (substance),11.9483,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
717,NCT00030264,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
718,NCT00030966,natalizumab,414805007,Natalizumab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
719,NCT00030979,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
720,NCT00031018,ifn-alpha2a,386914007,Interferon alfa-2a (substance),8.2753,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
721,NCT00031018,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
726,NCT00031590,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
727,NCT00031590,lomustine,387227009,Lomustine (substance),0.0055,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
728,NCT00031590,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
747,NCT00033891,infliximab,386891004,Infliximab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
753,NCT00034697,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
758,NCT00034788,becaplermin,386940001,Becaplermin (substance),0.0,"[106181007, 407073003]","['Immunologic substance (substance)', 'Recombinant protein (substance)']",Immunologic substance (substance)
773,NCT00035958,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
774,NCT00035958,etanercept,387045004,Etanercept (substance),0.0,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
775,NCT00035958,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
791,NCT00037102,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
792,NCT00037102,interferon beta 1a,386902004,Interferon beta-1a (substance),1.6725,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
794,NCT00037115,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
795,NCT00037115,interferon beta 1a,386902004,Interferon beta-1a (substance),1.6725,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
800,NCT00038441,dti-015,387441003,Dacarbazine (substance),13.2633,"[372688009, 300903003, 373244000]","['Antineoplastic agent (substance)', 'Azole (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
806,NCT00040040,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
817,NCT00040482,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
818,NCT00040482,atg,391784006,Antilymphocyte immunoglobulin (substance),13.058,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
830,NCT00042146,zolpidem,387569009,Zolpidem (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
831,NCT00042172,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
842,NCT00042367,intrathecal mafosfamide,386904003,Ifosfamide (substance),13.7902,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
849,NCT00043589,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
895,NCT00047320,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
896,NCT00047320,thiotepa,387508004,Thiotepa (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
897,NCT00047320,ifosfamide,386904003,Ifosfamide (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
917,NCT00049803,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
922,NCT00050245,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
924,NCT00050778,alemtuzumab 24 mg,129472003,Alemtuzumab (substance),14.6118,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
925,NCT00050778,alemtuzumab 12 mg,129472003,Alemtuzumab (substance),14.2052,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
926,NCT00050778,interferon beta-1a,386902004,Interferon beta-1a (substance),0.0,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
931,NCT00051402,isoflavones,713310002,Glycine max isoflavone (substance),9.2129,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
943,NCT00053703,molindone,372799001,Molindone (substance),0.0053,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
950,NCT00055393,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
958,NCT00056225,cyanocobalamin,419382002,Cyanocobalamin (substance),0.0,"[226355009, 300903003]","['Nutrients (substance)', 'Azole (substance)']",Nutrients (substance)
988,NCT00059332,magnesium sulfate,387202002,Magnesium sulfate (substance),0.0,"[31539008, 372800002]","['Magnesium compound (substance)', 'Laxative (substance)']",Magnesium compound (substance)
996,NCT00061087,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
1003,NCT00062478,karenitecin (bnp1350),387101002,Plicamycin (substance),12.4341,"[372688009, 59431004]","['Antineoplastic agent (substance)', 'Ketone (substance)']",Antineoplastic agent (substance)
1008,NCT00062972,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
1012,NCT00063310,leuprolide acetate,70562007,Leuprorelin acetate (substance),0.0065,"[372688009, 49869009]","['Antineoplastic agent (substance)', 'Gonadotropin releasing factor (substance)']",Antineoplastic agent (substance)
1013,NCT00063323,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
1017,NCT00064467,extended-release bupropion (hcl),395733003,Bupropion hydrochloride (substance),7.8257,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
1019,NCT00065169,celecoxib,116081000,Celecoxib (substance),0.0,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
1023,NCT00065702,active liquid remedy,226038003,Liqueur (substance),12.4105,"[226465004, 419442005]","['Drinks (substance)', 'Ethanol (substance)']",Drinks (substance)
1027,NCT00065949,magnesium sulfate,387202002,Magnesium sulfate (substance),0.0,"[31539008, 372800002]","['Magnesium compound (substance)', 'Laxative (substance)']",Magnesium compound (substance)
1031,NCT00066170,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
1033,NCT00066248,megestrol acetate,126092000,Megestrol acetate (substance),0.002,"[372688009, 419430000]","['Antineoplastic agent (substance)', 'Synthetic progestogen (substance)']",Antineoplastic agent (substance)
1034,NCT00066859,zoloft 50 mg,387569009,Zolpidem (substance),15.0219,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
1052,NCT00068107,replagal,718928008,Albutrepenonacog alfa (substance),12.1679,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
1056,NCT00069251,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
1057,NCT00069329,anakinra,385549000,Anakinra (substance),0.0081,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
1058,NCT00069459,extended-release bupropion hydrochloride,395733003,Bupropion hydrochloride (substance),6.675,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
1059,NCT00069550,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
1068,NCT00070941,ademetionine,441816007,Ademetionine (substance),0.0062,"[373545003, 226355009]","['Replacement agent (substance)', 'Nutrients (substance)']",Replacement agent (substance)
1081,NCT00071838,daclizumab,386977009,Daclizumab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
1082,NCT00071877,replagal,718928008,Albutrepenonacog alfa (substance),12.1679,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
1098,NCT00074607,gemcitabine,386920008,Gemcitabine (substance),0.0059,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
1106,NCT00075244,replagal,718928008,Albutrepenonacog alfa (substance),12.1679,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
1111,NCT00076440,leuprolide acetate,70562007,Leuprorelin acetate (substance),0.0065,"[372688009, 49869009]","['Antineoplastic agent (substance)', 'Gonadotropin releasing factor (substance)']",Antineoplastic agent (substance)
1117,NCT00076726,infliximab,386891004,Infliximab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
1118,NCT00076856,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
1119,NCT00076934,rg2077 (ctla4-igg4m),127964000,Gemtuzumab ozogamicin (substance),14.2083,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
1120,NCT00077207,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
1136,NCT00078988,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
1137,NCT00078988,thiotepa,387508004,Thiotepa (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
1138,NCT00078988,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
1141,NCT00079638,rosuvastatin,700067006,Rosuvastatin (substance),0.0,"[373267003, 31414002]","['Antilipemic agent (substance)', 'Amide (substance)']",Antilipemic agent (substance)
