,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
182,NCT00001658,Autoimmune disease (disorder)|Autoimmune encephalitis (disorder)|Disease (disorder)|Infection caused by alpha-hemolytic Streptococcus (disorder)|Mental disorder (disorder)|Obsessive-compulsive disorder (disorder)|Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection (disorder)|Streptococcal sore throat (disorder)|Streptococcal infectious disease (disorder)|Tic disorder (disorder),"Autoimmune disease (disorder)|Disease (disorder)|Infectious disease (disorder)|Mental disorder (disorder)|Obsessive-compulsive disorder (disorder)|Ear, nose and throat disorder (disorder)|Tic disorder (disorder)"
183,NCT00001662,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
184,NCT00001669,Experimental allergic encephalomyelitis (disorder)|Multiple sclerosis (disorder),Spinal cord disorder (disorder)|Multiple sclerosis (disorder)
185,NCT00001723,"Steatosis of liver (disorder)|Hyperlipidemia (disorder)|Hypertensive disorder, systemic arterial (disorder)|Impaired glucose tolerance (disorder)|Insulin resistance (disorder)|Obesity (disorder)|Severe obesity (disorder)|Sleep apnea (disorder)|Diabetes mellitus type 2 (disorder)","Disorder of digestive organ (disorder)|Hyperlipidemia (disorder)|Hypertensive disorder, systemic arterial (disorder)|Disorder of glucose regulation (disorder)|Obesity (disorder)|Sleep disorder (disorder)|Disorder of glucose metabolism (disorder)"
186,NCT00001725,Burning mouth syndrome (disorder)|Pain|Injury of trigeminal nerve (disorder),Disorder of upper digestive tract (disorder)|Pain|Soft tissue injury (disorder)
187,NCT00001768,Autoimmune disease (disorder)|Autistic disorder of childhood onset (disorder)|Precocious puberty (disorder)|Mental disorder (disorder)|Obsessive-compulsive disorder (disorder)|Schizophrenia (disorder)|Gilles de la Tourette's syndrome (disorder),Autoimmune disease (disorder)|Developmental mental disorder (disorder)|Disorder of endocrine system (disorder)|Mental disorder (disorder)|Obsessive-compulsive disorder (disorder)|Schizophrenia (disorder)|Tic disorder (disorder)
188,NCT00001777,Dementia (disorder)|Depressive disorder (disorder)|Dementia of frontal lobe type (disorder)|Starvation (disorder),Dementia (disorder)|Depressive disorder (disorder)|Dementia of frontal lobe type (disorder)|Nutritional disorder (disorder)
189,NCT00001781,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
190,NCT00001783,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
191,NCT00001784,Dystonia (disorder)|Focal dystonia (disorder),Dystonia (disorder)
192,NCT00001785,"Myelopathy caused by Human T-lymphotropic virus 1 (disorder)|Polyglandular autoimmune syndrome, type 1 (disorder)|Human T-lymphotropic virus 1 infection (disorder)|Infection caused by Human T-lymphotropic virus (disorder)",Spinal cord disorder (disorder)|Autoimmune disease (disorder)|Infectious disease (disorder)
193,NCT00001860,Acromegaly (disorder)|Pituitary macroadenoma (disorder)|Pituitary adenoma (disorder)|Sequelae of disorders (disorder)|Loss of teeth due to extraction (disorder)|Retrosphenoidal space syndrome (disorder),Disorder of endocrine system (disorder)|Sequelae of disorders (disorder)|Disorder of upper digestive tract (disorder)|Retrosphenoidal space syndrome (disorder)
194,NCT00001864,Amblyopia (disorder),Amblyopia (disorder)
195,NCT00001925,Paralysis of palate (disorder)|Psychogenic tremor (disorder)|Physiologic|Physiological|Essential tremor (disorder),Paralysis of palate (disorder)|Bodily distress disorder (disorder)|Physiologic|Physiological|Essential tremor (disorder)
196,NCT00001929,Parkinson's disease (disorder),Parkinsonism (disorder)
197,NCT00001930,Paradoxical facial movements (disorder)|Dementia (disorder)|Huntington's chorea (disorder),Paradoxical facial movements (disorder)|Dementia (disorder)|Chronic mental disorder (disorder)
198,NCT00001931,Parkinson's disease (disorder)|Parkinsonism (disorder),Parkinsonism (disorder)
199,NCT00001933,Alzheimer's disease (disorder)|Dementia (disorder)|Moderate intellectual disability (disorder),Alzheimer's disease (disorder)|Dementia (disorder)|Intellectual disability (disorder)
200,NCT00001934,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
201,NCT00001956,Disorder of mouth (disorder)|Pain|Fusion of mandibular incisor teeth (disorder),Disorder of upper digestive tract (disorder)|Pain
202,NCT00001986,Essential tremor (disorder),Essential tremor (disorder)
203,NCT00001994,Acquired immune deficiency syndrome (disorder)|Toxoplasma encephalitis (disorder)|Human immunodeficiency virus infection (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
204,NCT00002010,Coccidioidal meningitis (disorder),Infectious disease (disorder)
205,NCT00002019,Acquired immune deficiency syndrome (disorder)|Cryptococcal meningitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
206,NCT00002040,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)
207,NCT00002044,Dementia with acquired immunodeficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Dementia co-occurrent with human immunodeficiency virus infection (disorder)|Combined disorder of muscle AND peripheral nerve (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Disorder of skeletal muscle (disorder)
208,NCT00002064,Acquired immune deficiency syndrome (disorder)|Toxoplasmosis (disorder)|Toxoplasma encephalitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
209,NCT00002068,Cryptococcal meningitis (disorder),Infectious disease (disorder)
210,NCT00002074,Acquired immune deficiency syndrome (disorder)|Cryptococcal meningitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
211,NCT00002075,Cryptococcal meningitis (disorder),Infectious disease (disorder)
212,NCT00002076,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)
213,NCT00002077,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder)|Failure of penetration (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)|Disorder of the genitourinary system (disorder)
214,NCT00002083,Acquired immune deficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Infectious disease (disorder)|Peripheral nerve disease (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Peripheral nerve disease (disorder)
215,NCT00002113,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)
216,NCT00002163,Dementia with acquired immunodeficiency syndrome (disorder),Immunodeficiency disorder (disorder)
217,NCT00002209,Symptomatic human immunodeficiency virus infection (disorder)|Dementia with acquired immunodeficiency syndrome (disorder)|Combined reverse transcriptase and protease inhibitor therapy|Human immunodeficiency virus infection (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)|Combined reverse transcriptase and protease inhibitor therapy
218,NCT00002246,Adc|Dementia with acquired immunodeficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder),Adc|Immunodeficiency disorder (disorder)|Infectious disease (disorder)
219,NCT00002270,Human immunodeficiency virus I infection (disorder)|Progressive multifocal leukoencephalopathy (disorder),Infectious disease (disorder)|White matter disease (disorder)
220,NCT00002274,Acquired immune deficiency syndrome (disorder),Immunodeficiency disorder (disorder)
221,NCT00002294,Acquired immune deficiency syndrome (disorder)|Cryptococcal meningitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
222,NCT00002305,Cryptococcal meningitis (disorder),Infectious disease (disorder)
223,NCT00002306,Cryptococcal meningitis (disorder),Infectious disease (disorder)
224,NCT00002316,Human immunodeficiency virus infection (disorder)|Cryptococcal meningitis (disorder),Infectious disease (disorder)
225,NCT00002395,Acquired immune deficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Disease caused by JC polyomavirus (disorder)|Progressive multifocal leukoencephalopathy (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|White matter disease (disorder)
226,NCT00002520,Early gastric cancer (disorder),Disorder of upper digestive tract (disorder)
227,NCT00002594,Germ cell tumor of the brain (disorder)|Germ cell tumor (disorder)|Primary medulloblastoma (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
228,NCT00002875,Medulloblastoma (disorder)|Primary medulloblastoma (disorder)|Primary classic medulloblastoma (disorder)|Therapy|Neoplastic disease (disorder),Neoplastic disease (disorder)|Therapy
229,NCT00002944,Low grade astrocytoma of brain (disorder)|Primary anaplastic astrocytoma of brain (disorder)|Metastatic malignant neoplasm to brain (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
230,NCT00003141,Malignant neoplasm of brain (disorder)|Neoplasm of spinal cord (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Spinal cord disorder (disorder)
231,NCT00003203,Embryonal neuroepithelial neoplasm of central nervous system (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
232,NCT00003483,Intracranial meningioma (disorder),Neoplastic disease (disorder)
233,NCT00003514,Malignant neoplastic disease (disorder)|Metastatic malignant neoplasm (disorder)|Metastatic well-differentiated neuroendocrine tumor (disorder)|Well-differentiated neuroendocrine tumor (disorder),Neoplastic disease (disorder)
234,NCT00003573,Primary medulloblastoma (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
235,NCT00003625,Diffuse intrinsic pontine glioma (disorder)|Primary malignant glioma of brainstem (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
236,NCT00003935,Diffuse intrinsic pontine glioma (disorder)|Primary malignant glioma of brainstem (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
237,NCT00004268,Pure autonomic failure (disorder),Low blood pressure (disorder)
238,NCT00004286,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),Peripheral nerve disease (disorder)
239,NCT00004293,Glucosylceramide beta-glucosidase deficiency (disorder),Hereditary metabolic disease (disorder)
240,NCT00004294,Chronic non-neuropathic Gaucher's disease (disorder),Hereditary metabolic disease (disorder)
241,NCT00004297,Epilepsy (disorder),Seizure disorder (disorder)
242,NCT00004300,Intellectual disability (disorder)|Mental disorder (disorder)|Repetitive motion disorder (disorder)|Stereotypy habit disorder (disorder)|Primary stereotypy (disorder),Intellectual disability (disorder)|Mental disorder (disorder)|Repetitive motion disorder (disorder)|Developmental mental disorder (disorder)
243,NCT00004310,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
244,NCT00004314,Lesch-Nyhan syndrome (disorder),Lesch-Nyhan syndrome (disorder)
245,NCT00004338,Wilson's disease (disorder),Chorea (disorder)
246,NCT00004339,Wilson's disease (disorder),Chorea (disorder)
247,NCT00004357,Active|Childhood type dermatomyositis (disorder),Active|Inflammation of skin and/or subcutaneous tissue (disorder)
248,NCT00004373,Anxious personality disorder (disorder),Personality disorder (disorder)
249,NCT00004376,Attention deficit hyperactivity disorder (disorder)|Chronic motor tic disorder (disorder)|Gilles de la Tourette's syndrome (disorder),Disorders of attention and motor control (disorder)|Tic disorder (disorder)
250,NCT00004386,Ornithine carbamoyltransferase deficiency (disorder),Disorder of amino acid metabolism (disorder)
251,NCT00004393,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
252,NCT00004401,Infantile botulism (disorder),Disorder of gastrointestinal tract (disorder)
253,NCT00004403,Epilepsy (disorder)|Cysticercosis of central nervous system (disorder)|Intestinal taenia solium infection (disorder)|Taenia solium infection (disorder),Seizure disorder (disorder)|Infectious disease (disorder)|Disorder of digestive organ (disorder)
254,NCT00004407,Peripheral neuropathy due to diabetes mellitus (disorder),Disorder of nervous system due to diabetes mellitus (disorder)
255,NCT00004418,Adrenoleukodystrophy (disorder),Disorder of endocrine system (disorder)
256,NCT00004431,Refractory migraine without aura (disorder),Disorder of blood vessel (disorder)
257,NCT00004433,Goniodysgenesis with intellectual disability and short stature syndrome (disorder)|Tic disorder (disorder)|Gilles de la Tourette's syndrome (disorder),Congenital malformation (disorder)|Tic disorder (disorder)
258,NCT00004442,Synthetic defect of bile acids (disorder)|Disorder of peroxisomal function (disorder),Hereditary metabolic disease (disorder)
259,NCT00004446,Depersonalization disorder (disorder)|Depressive disorder (disorder)|Cluster B personality disorder (disorder)|Obsessive-compulsive disorder (disorder)|Panic disorder (disorder)|Socialized behavior disorder (disorder),Dissociative disorder (disorder)|Depressive disorder (disorder)|Personality disorder (disorder)|Obsessive-compulsive disorder (disorder)|Anxiety disorder (disorder)|Developmental mental disorder (disorder)
260,NCT00004450,Adrenoleukodystrophy (disorder)|Inflammatory disorder (disorder),Disorder of endocrine system (disorder)|Inflammatory disorder (disorder)
261,NCT00004451,Parkinson's disease (disorder),Parkinsonism (disorder)
262,NCT00004454,"Hunter's syndrome, mild form (disorder)|Mucopolysaccharidosis type II (disorder)",Hereditary metabolic disease (disorder)
263,NCT00004478,Idiopathic hypotension (disorder)|Intracranial hypotension (disorder),Idiopathic disease (disorder)|Intracranial hypotension (disorder)
264,NCT00004479,Psychogenic syncope (disorder),Acute nervous system disorder (disorder)
265,NCT00004480,Primary focal hyperhidrosis (disorder),Disorder of skin (disorder)
266,NCT00004488,Bone density|Lesion of bone (disorder)|Glucosylceramide beta-glucosidase deficiency (disorder)|Osteopenia (disorder),Bone density|Disorder of skeletal system (disorder)|Hereditary metabolic disease (disorder)
267,NCT00004498,Ornithine carbamoyltransferase deficiency (disorder),Disorder of amino acid metabolism (disorder)
268,NCT00004554,Alcohol dependence (disorder)|Dementia associated with alcoholism (disorder)|Depressive disorder (disorder),Disorder caused by alcohol (disorder)|Depressive disorder (disorder)
269,NCT00004576,Secondary parkinsonism (disorder)|Movement disorder (disorder)|Parkinson's disease (disorder)|Parkinsonism (disorder)|Myopia (disorder)|Essential tremor (disorder),Parkinsonism (disorder)|Movement disorder (disorder)|Disorder of refraction (disorder)|Essential tremor (disorder)
