,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
337,NCT00006349,Vitamin E and/or vitamin E derivative (substance)|Donepezil hydrochloride (substance),Nutrients (substance)|Ketone (substance)
338,NCT00006399,Progesterone (substance)|Substance with estrogen receptor agonist mechanism of action (substance)|Donepezil (substance),Progesterone (substance)|Substance with estrogen receptor agonist mechanism of action (substance)|Ketone (substance)
339,NCT00006428,Amitriptyline (substance),Psychotropic agent (substance)
340,NCT00006448,Methadone (substance),Analgesic (substance)
341,NCT00006450,Phenylbutyric acid (substance),Phenylbutyrate (substance)
342,NCT00006488,Recombinant human granulocyte macrophage colony stimulating factor (substance),Recombinant protein (substance)
343,NCT00006489,Naltrexone (substance),Antidote (substance)
344,NCT00007020,Cholic acid (substance),Cholic acid (substance)
345,NCT00007189,Celecoxib (substance)|Naproxen sodium (substance),Azole (substance)|Analgesic (substance)
346,NCT00007501,Antigen of live attenuated Human alphaherpesvirus 3 (substance),Immunologic substance (substance)
347,NCT00007605,Sotalol (substance)|Amiodarone (substance),Sotalol (substance)|Amiodarone (substance)
348,NCT00007670,Carbamazepine (substance)|Lamotrigine (substance)|Gabapentin (substance),Carbamazepine (substance)|Lamotrigine (substance)|Nutrients (substance)
349,NCT00007774,Haloperidol (substance)|Olanzapine (substance),Ketone (substance)|Psychotropic agent (substance)
350,NCT00009048,Levodopa overdose (disorder)|Clofazimine (substance),Poisoning (disorder)|Antileprotic drug (substance)
351,NCT00009178,Fluoxetine (substance),Psychotropic agent (substance)
352,NCT00009191,Sertraline (substance),Psychotropic agent (substance)
353,NCT00009204,Citalopram (substance)|Perphenazine (substance),Psychotropic agent (substance)
354,NCT00009217,Haloperidol (substance),Ketone (substance)
355,NCT00009230,Celecoxib (substance),Azole (substance)
356,NCT00009620,Sodium chloride solution (substance)|Phenobarbital (substance),Sodium chloride solution (substance)|Phenobarbital (substance)
357,NCT00009672,Morphine (substance)|Nortriptyline (substance),Analgesic (substance)|Psychotropic agent (substance)
358,NCT00010803,Ginkgo biloba (substance),Herbal medicine agent (substance)
359,NCT00010842,Lipoic acid (substance)|Selenium (substance)|Essential fatty acid (substance)|Ginkgo biloba (substance),Lipoic acid (substance)|Selenium and/or selenium compound (substance)|Essential fatty acid (substance)|Herbal medicine agent (substance)
360,NCT00010868,N-3 fatty acid (substance),Essential fatty acid (substance)
361,NCT00010881,Food antioxidant (substance),Food antioxidant (substance)
362,NCT00010920,Ginkgo biloba extract (substance),Herbal medicine agent (substance)
363,NCT00011375,Remoxipride (substance),Psychotropic agent (substance)
364,NCT00011804,Topiramate (substance),Topiramate (substance)
365,NCT00012454,Eosinophilic nonallergic rhinitis (disorder),Eosinophilic nonallergic rhinitis (disorder)
366,NCT00012467,Itraconazole (substance)|Interferon gamma-1b (substance)|Fluconazole (substance)|Flucytosine (substance)|Amphotericin B (substance),Azole (substance)|Antineoplastic agent (substance)|Flucytosine (substance)|Amphotericin B (substance)
367,NCT00012558,Valproic acid (substance)|Valproate (substance)|Risperidone (substance)|Inositol (substance)|Lamotrigine (substance)|Bupropion (substance)|Tranylcypromine (substance)|Lithium (substance)|Paroxetine (substance),Psychotropic agent (substance)|Nutrients (substance)|Lamotrigine (substance)|Ketone (substance)
368,NCT00012584,Methylphenidate (substance)|Fluvoxamine (substance),Psychotropic agent (substance)
369,NCT00013585,Selegiline hydrochloride (substance),Selegiline hydrochloride (substance)
370,NCT00013624,Levodopa overdose (disorder),Poisoning (disorder)
371,NCT00013650,Cyclophosphamide (substance),Immunologic agent (substance)
372,NCT00013923,Nutritional supplement (substance),Replacement agent (substance)
373,NCT00014001,Ziprasidone (substance)|Fluphenazine decanoate (substance)|Risperidone (substance)|Olanzapine (substance)|Clozapine (substance)|Quetiapine (substance)|Perphenazine (substance),Psychotropic agent (substance)
374,NCT00014755,Cyclophosphamide (substance)|Prednisone (substance)|Antithymocyte immunoglobulin (substance)|Filgrastim (substance),"Immunologic agent (substance)|Corticosteroid and/or corticosteroid derivative (substance)|Immunologic substance (substance)|Colony-stimulating factor, granulocytic (substance)"
375,NCT00014989,Magnesium sulfate (substance),Magnesium compound (substance)
376,NCT00015028,Buprenorphine (substance),Analgesic (substance)
377,NCT00015041,Buprenorphine (substance),Analgesic (substance)
378,NCT00015054,Methylphenidate (substance),Psychotropic agent (substance)
379,NCT00015067,Methylphenidate (substance),Psychotropic agent (substance)
380,NCT00015080,Naltrexone (substance),Antidote (substance)
381,NCT00015106,Lamotrigine (substance),Lamotrigine (substance)
382,NCT00015132,Sertraline (substance),Psychotropic agent (substance)
383,NCT00015171,Buprenorphine (substance),Analgesic (substance)
384,NCT00015210,Nefazodone (substance),Azole (substance)
385,NCT00015223,Methylphenidate (substance),Psychotropic agent (substance)
386,NCT00015249,Amantadine (substance),Amantadine (substance)
387,NCT00015301,Methylphenidate (substance),Psychotropic agent (substance)
388,NCT00015340,Buprenorphine (substance),Analgesic (substance)
389,NCT00015548,Quetiapine (substance)|Citalopram (substance)|Olanzapine (substance)|Risperidone (substance),Psychotropic agent (substance)
390,NCT00015769,Levetiracetam (substance),Levetiracetam (substance)
391,NCT00015808,Idebenone (substance),Ketone (substance)
392,NCT00016653,Creatine monohydrate (substance)|Glutamine (substance),Metabolite (substance)|Nutrients (substance)
393,NCT00016679,Caprylic alcohol (substance),Caprylic alcohol (substance)
394,NCT00017628,Methylprednisolone (substance)|Cyclophosphamide (substance)|Filgrastim (substance)|Substance (substance),"Corticosteroid and/or corticosteroid derivative (substance)|Immunologic agent (substance)|Colony-stimulating factor, granulocytic (substance)|Substance (substance)"
395,NCT00017940,Nerve growth factor (substance),Nerve growth factor (substance)
396,NCT00018057,Fluoxetine (substance),Psychotropic agent (substance)
397,NCT00018109,Glutamine (substance)|Creatine monohydrate (substance),Nutrients (substance)|Metabolite (substance)
398,NCT00018174,Fluoxetine (substance),Psychotropic agent (substance)
399,NCT00018200,Benzatropine (substance)|Fluoxetine (substance)|Desipramine (substance),Aza compound (substance)|Psychotropic agent (substance)
400,NCT00018278,Nicorandil (substance)|Donepezil (substance)|Rivastigmine (substance)|Rivastigmine tartrate (substance),Amide (substance)|Ketone (substance)|Parasympathomimetic agent (substance)
401,NCT00018291,Risperidone (substance)|Gabapentin (substance),Psychotropic agent (substance)|Nutrients (substance)
402,NCT00018343,Substance with estrogen receptor agonist mechanism of action (substance),Substance with estrogen receptor agonist mechanism of action (substance)
403,NCT00018356,Testosterone (substance),Testosterone and/or testosterone derivative (substance)
404,NCT00018382,Rosiglitazone (substance),Rosiglitazone (substance)
405,NCT00018564,Essential tremor (disorder),Essential tremor (disorder)
406,NCT00018603,Guanfacine (substance),Guanfacine (substance)
407,NCT00018642,Haloperidol decanoate (substance)|Quetiapine (substance),Ketone (substance)|Psychotropic agent (substance)
408,NCT00018668,Risperidone (substance)|Olanzapine (substance)|Quetiapine (substance),Psychotropic agent (substance)
409,NCT00018733,Desipramine (substance)|Paroxetine (substance),Psychotropic agent (substance)
410,NCT00018759,Paroxetine (substance),Psychotropic agent (substance)
411,NCT00018824,Naltrexone (substance),Antidote (substance)
412,NCT00018850,Nicotine (substance)|Haloperidol (substance)|Ondansetron (substance),Parasympathomimetic agent (substance)|Ketone (substance)|Ondansetron (substance)
413,NCT00018902,Citalopram (substance)|Fluoxetine (substance)|Venlafaxine (substance),Psychotropic agent (substance)
414,NCT00019630,Doxorubicin liposome (substance),Liposomal agent (substance)
415,NCT00021528,Venlafaxine (substance)|Nortriptyline (substance)|Bupropion (substance)|Liothyronine (substance)|Citalopram (substance)|Mirtazapine (substance)|Tranylcypromine (substance)|Sertraline (substance)|Lithium (substance)|Buspirone (substance),Psychotropic agent (substance)|Ketone (substance)|Liothyronine (substance)
416,NCT00021541,Lonafarnib (substance),Antineoplastic agent (substance)
417,NCT00021697,Desmopressin acetate trihydrate (substance),Hemostatic agent (substance)
418,NCT00021723,A*6802 (substance),Gene (substance)
419,NCT00022074,Gabapentin (substance),Nutrients (substance)
420,NCT00023283,Buprenorphine (substance),Analgesic (substance)
421,NCT00023634,"Keyhole-limpet hemocyanin (substance)|Colony-stimulating factor, granulocyte-macrophage (substance)","Keyhole-limpet hemocyanin (substance)|Colony-stimulating factor, granulocyte-macrophage (substance)"
422,NCT00024531,Atorvastatin calcium (substance),Antilipemic agent (substance)
423,NCT00025740,Paroxetine mesilate (substance),Psychotropic agent (substance)
424,NCT00025779,Guanfacine (substance)|Methylphenidate (substance),Guanfacine (substance)|Psychotropic agent (substance)
425,NCT00025792,Pramipexole (substance),Pramipexole (substance)
426,NCT00025896,Recombinant alpha glucosidase (substance),Recombinant alpha glucosidase (substance)
427,NCT00026039,Substance with estrogen receptor agonist mechanism of action (substance),Substance with estrogen receptor agonist mechanism of action (substance)
428,NCT00026052,Riluzole (substance),Riluzole (substance)
429,NCT00026585,Tamoxifen (substance),Tamoxifen (substance)
430,NCT00026637,Sertraline (substance)|Substance (substance),Psychotropic agent (substance)|Substance (substance)
431,NCT00026988,Creatine (substance),Metabolite (substance)
432,NCT00027066,Aspirin (substance)|Warfarin (substance),Analgesic (substance)|Anticoagulant (substance)
433,NCT00027209,Promestriene (substance),Estradiol and/or estradiol derivative (substance)
434,NCT00027300,Natalizumab (substance),Immunologic substance (substance)
435,NCT00027378,Fluoxetine (substance),Psychotropic agent (substance)
436,NCT00027391,Oxandrolone (substance)|Salbutamol (substance),Oxandrolone (substance)|Salbutamol (substance)
437,NCT00027430,Abatacept (substance),Immunosuppressant (substance)
438,NCT00027846,Cyclophosphamide (substance)|Vincristine sulfate (substance)|Filgrastim (substance)|Mesna (substance)|Etoposide (substance)|Carboplatin (substance),"Immunologic agent (substance)|Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)|Antidote (substance)"
439,NCT00029146,Best vitelliform macular dystrophy (disorder),Best vitelliform macular dystrophy (disorder)
440,NCT00029315,Alteplase (substance),Thrombolytic agent (substance)
441,NCT00029458,Clozapine (substance),Psychotropic agent (substance)
442,NCT00029497,Amitriptyline (substance),Psychotropic agent (substance)
443,NCT00029523,Cytarabine (substance)|Syngeneic fluid containing peripheral blood stem cells (substance)|Methotrexate (substance),Antineoplastic agent (substance)|Fluid containing hemopoietic stem cells (substance)|Immunologic agent (substance)
444,NCT00029536,Free progesterone (substance),Free progesterone (substance)
445,NCT00029614,Atomoxetine (substance),Atomoxetine (substance)
446,NCT00029874,Minocycline (substance),Minocycline (substance)
447,NCT00030147,Raloxifene (substance)|Estradiol and/or estradiol derivative (substance)|Ramipril (substance),Raloxifene (substance)|Estradiol and/or estradiol derivative (substance)|Ramipril (substance)
448,NCT00030264,Vinblastine (substance)|Methotrexate (substance),Antineoplastic agent (substance)|Immunologic agent (substance)
449,NCT00030966,Natalizumab (substance),Immunologic substance (substance)
450,NCT00030979,Donepezil (substance),Ketone (substance)
451,NCT00031018,Interferon alfa-2a (substance)|Donepezil (substance),Antineoplastic agent (substance)|Ketone (substance)
452,NCT00031317,Clozapine (substance)|Paroxetine (substance),Psychotropic agent (substance)
453,NCT00031486,Valaciclovir (substance),Nucleoside (substance)
454,NCT00031590,Cyclophosphamide (substance)|Lomustine (substance)|Etoposide (substance)|Vincristine (substance)|Cisplatin (substance),Immunologic agent (substance)|Antineoplastic agent (substance)
455,NCT00031798,Methylphenidate hydrochloride (substance),Psychotropic agent (substance)
456,NCT00032695,Methionine (substance),Nutrients (substance)
457,NCT00032734,Frovatriptan succinate anhydrous (substance),Azole (substance)
458,NCT00032916,Ribavirin (substance),Azole (substance)
459,NCT00032929,Selegiline (substance),Selegiline (substance)
460,NCT00032955,Buprenorphine (substance),Analgesic (substance)
461,NCT00032968,Buprenorphine (substance),Analgesic (substance)
462,NCT00033033,Reserpine (substance),Reserpine (substance)
463,NCT00033046,Modafinil (substance),Psychotropic agent (substance)
464,NCT00033059,Tolcapone (substance),Ketone (substance)
465,NCT00033072,Selegiline (substance),Selegiline (substance)
466,NCT00033085,Ondansetron (substance),Ondansetron (substance)
467,NCT00033098,Metyrapone (substance),Ketone (substance)
468,NCT00033111,Cabergoline (substance),Ergoline derivative (substance)
469,NCT00033189,Ubidecarenone (substance),Ketone (substance)
470,NCT00033813,Oxatomide (substance),Oxatomide (substance)
471,NCT00033891,Infliximab (substance),Immunologic substance (substance)
472,NCT00034021,Ginkgo biloba (substance),Herbal medicine agent (substance)
473,NCT00034229,Felbamate (substance),Felbamate (substance)
474,NCT00034242,Human immunoglobulin (substance),Blood component (substance)
475,NCT00034580,Risperidone (substance)|Olanzapine (substance),Psychotropic agent (substance)
476,NCT00034697,Temozolomide (substance),Immunologic agent (substance)
477,NCT00034710,Carrel patch (substance),Body tissue patch material (substance)
478,NCT00034749,Risperidone (substance),Psychotropic agent (substance)
479,NCT00034762,Risperidone (substance),Psychotropic agent (substance)
480,NCT00034775,Risperidone (substance),Psychotropic agent (substance)
