,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
256,NCT00004401,Botulism immunoglobulin (substance),Immunoglobulin (substance)
257,NCT00004403,Albendazole (substance),Benzimidazole (substance)
258,NCT00004407,Immunoglobulin (substance),Immunoglobulin (substance)
259,NCT00004418,Glyceryl trierucate (substance)|Triolein (substance)|Sesame oil (substance),Triacylglycerol (substance)|Nutrients (substance)
260,NCT00004431,Baclofen (substance),Baclofen (substance)
261,NCT00004433,Pergolide (substance),Ergoline derivative (substance)
262,NCT00004442,Bile acid (substance)|Chenodeoxycholic acid (substance)|Cholic acid (substance)|Ursodeoxycholic acid (substance),Acid (substance)
263,NCT00004446,Fluoxetine (substance),Antidepressant (substance)
264,NCT00004450,Glyceryl trierucate (substance)|Triolein (substance)|Interferon beta (substance)|Sesame oil (substance)|Thalidomide (substance),Triacylglycerol (substance)|Mediator of immune response (substance)|Nutrients (substance)|Piperidine (substance)
265,NCT00004451,Glucose (substance),Nutrients (substance)
266,NCT00004454,Idursulfase (substance)|Neutrophil gelatinase associated lipocalin (substance),Idursulfase (substance)|Neutrophil gelatinase associated lipocalin (substance)
267,NCT00004478,Droxidopa (substance),Droxidopa (substance)
268,NCT00004479,Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Midodrine (substance),Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Midodrine (substance)
269,NCT00004480,Clostridium botulinum toxin (substance),Bacterial agent (substance)
270,NCT00004488,Alendronate sodium (substance),Organic phosphorus compound (substance)
271,NCT00004554,Naltrexone (substance)|Sertraline (substance),Naltrexone (substance)|Antidepressant (substance)
272,NCT00004576,"Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)|Levodopa (substance)|Ceftazidime (substance)|Spastic paraplegia, intellectual disability, nystagmus, obesity syndrome (disorder)","Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)|Catecholamine (substance)|Lactam (substance)|Spastic paraplegia, intellectual disability, nystagmus, obesity syndrome (disorder)"
273,NCT00004637,Vitamin E and/or vitamin E derivative (substance),Nutrients (substance)
274,NCT00004646,Prednisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
275,NCT00004647,Mexiletine (substance),Mexiletine (substance)
276,NCT00004652,Pimozide (substance),Piperidine (substance)
277,NCT00004682,Immunoglobulin (substance),Immunoglobulin (substance)
278,NCT00004685,Salbutamol (substance),Bronchodilator (substance)
279,NCT00004686,Glucocorticoid (substance)|Methotrexate (substance),Corticosteroid and/or corticosteroid derivative (substance)|Immunologic agent (substance)
280,NCT00004727,Aspirin (substance)|Ticlopidine (substance),Analgesic (substance)|Ticlopidine (substance)
281,NCT00004728,Aspirin (substance)|Warfarin (substance),Analgesic (substance)|Anticoagulant (substance)
282,NCT00004730,Magnesium sulfate (substance),Laxative (substance)
283,NCT00004731,Ubidecarenone (substance),Ketone (substance)
284,NCT00004733,Levodopa (substance)|Sinecatechins (substance),Catecholamine (substance)|Flavonoid (substance)
285,NCT00004734,Cyanocobalamin (substance)|Folic acid (substance)|Homocysteine (substance)|Pyridoxine (substance)|Vitamin supplement (substance),Nutrients (substance)|Replacement agent (substance)
286,NCT00004744,Immunoglobulin (substance),Immunoglobulin (substance)
287,NCT00004759,Multiple epiphyseal dysplasia Beighton type (disorder)|Methylprednisolone (substance)|Tiropramide (substance),Short stature disorder (disorder)|Corticosteroid and/or corticosteroid derivative (substance)|Antispasmodic (substance)
288,NCT00004770,Lipoic acid (substance),Fatty acid (substance)
289,NCT00004771,Substance with androgen receptor agonist mechanism of action (substance)|Anabolic androgenic steroid (substance)|Leuprorelin (substance)|Testosterone enantate (substance),Sex hormone (substance)|Leuprorelin (substance)
290,NCT00004772,Immunoglobulin (substance),Immunoglobulin (substance)
291,NCT00004776,Topiramate (substance),Topiramate (substance)
292,NCT00004796,Lactulose (substance),Nutrients (substance)
293,NCT00004802,Diclofenamide (substance),Sulfone (substance)
294,NCT00004807,Poisoning caused by parasympathomimetic drug (disorder)|Growth factor (substance),Poisoning caused by drug AND/OR medicinal substance (disorder)|Growth substance (substance)
295,NCT00004814,Copolymer (substance)|Polypeptide (substance),Copolymer (substance)|Polypeptide (substance)
296,NCT00004816,Mogamulizumab (substance)|Lymphocyte antigen CD4 (substance),Antibody (substance)|Lymphocyte antigen (substance)
297,NCT00004817,Valproate (substance)|Sodium valproate (substance)|Valproic acid (substance),Fatty acid (substance)
298,NCT00004826,Clozapine (substance),Clozapine (substance)
299,NCT00004833,Human immunoglobulin (substance),Immunoglobulin (substance)
300,NCT00004834,Imipramine (substance),Antidepressant (substance)
301,NCT00004845,Naproxen (substance)|Rofecoxib (substance),Analgesic (substance)
302,NCT00004939,Amifampridine (substance),Biocide (substance)
303,NCT00005015,Fluoxetine (substance)|Lithium (substance)|Valproate (substance)|Valproic acid (substance),Antidepressant (substance)|Fatty acid (substance)
304,NCT00005571,Centrocyte marker 1 immunoglobulin G antibody (substance)|Prednisone (substance),Antibody (substance)|Corticosteroid and/or corticosteroid derivative (substance)
305,NCT00005574,Gentamicin (substance),Glycoside (substance)
306,NCT00005658,Amino acid (substance)|Glycine (substance),Nutrients (substance)
307,NCT00005674,Creatine (substance),Metabolite (substance)
308,NCT00005766,Creatine (substance),Metabolite (substance)
309,NCT00005812,Temozolomide (substance),Immunologic agent (substance)
310,NCT00005850,Fluoxetine (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
311,NCT00005903,Nerve growth factor (substance)|Gnathodiaphyseal dysplasia syndrome (disorder)|Recombinant human granulocyte macrophage colony stimulating factor (substance),Growth substance (substance)|Gnathodiaphyseal dysplasia syndrome (disorder)|Colony stimulating factor (substance)
312,NCT00005925,Muscimol (substance),Muscimol (substance)
313,NCT00006024,Lomustine (substance)|Temozolomide (substance),Immunologic agent (substance)
314,NCT00006055,Ciclosporin (substance)|Filgrastim (substance),Immunosuppressant (substance)|Colony stimulating factor (substance)
315,NCT00006072,Rituximab (substance),Antibody (substance)
316,NCT00006077,Levodopa (substance)|Substance with dopamine reuptake inhibitor mechanism of action (substance)|Niclosamide (substance),Catecholamine (substance)|Substance with dopamine reuptake inhibitor mechanism of action (substance)|Niclosamide (substance)
317,NCT00006170,Bupropion (substance),Antidepressant (substance)
318,NCT00006180,Alendronate (substance)|Alendronic acid (substance)|Calcium (substance)|Ergocalciferol (substance)|Vitamin D and/or vitamin D derivative (substance),Organic phosphorus compound (substance)|Mineral (substance)|Nutrients (substance)
319,NCT00006195,Anti-psychotic agent (substance)|Olanzapine (substance)|Risperidone (substance),Anti-psychotic agent (substance)|Olanzapine (substance)|Risperidone (substance)
320,NCT00006204,Fluoxetine (substance)|Naltrexone (substance),Antidepressant (substance)|Naltrexone (substance)
321,NCT00006286,Fluoxetine (substance)|Proline (substance),Antidepressant (substance)|Nutrients (substance)
322,NCT00006289,Neurotensin (substance),Gastrointestinal hormone (substance)
323,NCT00006337,Substance with adenosine A2 receptor agonist mechanism of action (substance)|A*6802 (substance)|Levodopa (substance),Substance with adenosine A2 receptor agonist mechanism of action (substance)|A*6802 (substance)|Catecholamine (substance)
324,NCT00006349,Donepezil (substance)|Vitamin E and/or vitamin E derivative (substance),Piperidine (substance)|Nutrients (substance)
325,NCT00006399,Substance with estrogen receptor agonist mechanism of action (substance),Sex hormone (substance)
326,NCT00006428,Amitriptyline (substance),Antidepressant (substance)
327,NCT00006448,Methadone (substance),Analgesic (substance)
328,NCT00006450,Phenylacetate (substance)|Phenylbutyric acid (substance),Phenylacetate (substance)|Phenylbutyric acid (substance)
329,NCT00006488,Nerve growth factor (substance)|Mephentermine (substance)|Recombinant human granulocyte macrophage colony stimulating factor (substance),Growth substance (substance)|Amfetamine and/or amfetamine derivative (substance)|Colony stimulating factor (substance)
330,NCT00006489,Naltrexone (substance),Naltrexone (substance)
331,NCT00007020,Cholic acid (substance),Acid (substance)
332,NCT00007189,Celecoxib (substance)|Naproxen (substance)|Non-steroidal anti-inflammatory agent (substance),Sulfone (substance)|Analgesic (substance)
333,NCT00007501,Herpes zoster (disorder)|Antigen of live attenuated Human alphaherpesvirus 3 (substance),Viral disease (disorder)|Antigen of live attenuated virus (substance)
334,NCT00007605,Amiodarone (substance)|Antiarrhythmic agent (substance)|Quinidine (substance)|Sotalol (substance),Amiodarone (substance)|Antiarrhythmic agent (substance)|Quinidine (substance)|Sotalol (substance)
335,NCT00007670,Gabapentin (substance)|Lamotrigine (substance),Nutrients (substance)|Lamotrigine (substance)
336,NCT00007774,Olanzapine (substance),Olanzapine (substance)
337,NCT00009048,Apomorphine (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Clofazimine (substance)|Levodopa (substance)|Serotonin (substance)|Sinecatechins (substance),Apomorphine (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Antileprotic drug (substance)|Catecholamine (substance)|Mediator of immune response (substance)|Flavonoid (substance)
338,NCT00009178,Antidepressant (substance)|Fluoxetine (substance),Antidepressant (substance)
339,NCT00009191,Antidepressant (substance)|Sertraline (substance),Antidepressant (substance)
340,NCT00009204,Citalopram (substance)|Perphenazine (substance)|Serotonin syndrome (disorder),Antidepressant (substance)|Perphenazine (substance)|Serotonin syndrome (disorder)
341,NCT00009217,Haloperidol (substance),Ketone (substance)
342,NCT00009230,Non-steroidal anti-inflammatory agent (substance)|Celecoxib (substance),Analgesic (substance)|Sulfone (substance)
343,NCT00009620,Phenobarbital (substance),Barbiturate (substance)
344,NCT00009672,Antidepressant (substance)|Benzatropine (substance)|Morphine (substance)|Nortriptyline (substance)|Substance with opioid receptor agonist mechanism of action (substance)|Tricyclic antidepressant (substance),Antidepressant (substance)|Antispasmodic (substance)|Analgesic (substance)|Substance with opioid receptor agonist mechanism of action (substance)
345,NCT00010335,Antithymocyte immunoglobulin (substance)|Cyclophosphamide (substance),Antibody (substance)|Immunologic agent (substance)
346,NCT00010842,Food antioxidant (substance),Food antioxidant (substance)
347,NCT00010868,Valproate semisodium (substance)|Lithium (substance)|N-3 fatty acid (substance),Fatty acid (substance)|Antidepressant (substance)
348,NCT00011375,Remoxipride (substance),Remoxipride (substance)
349,NCT00011804,Diphenhydramine (substance)|Topiramate (substance),Diphenhydramine (substance)|Topiramate (substance)
350,NCT00012454,Lymphocyte antigen CD62E (substance),Lymphocyte antigen (substance)
351,NCT00012467,Interferon gamma-1b (substance),Mediator of immune response (substance)
352,NCT00012584,Fluvoxamine (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Stimulant (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Stimulant (substance)
353,NCT00013182,Anti-psychotic agent (substance)|Benzodiazepine (substance),Anti-psychotic agent (substance)|Hypnotic agent (substance)
354,NCT00013585,Selegiline (substance)|Selegiline hydrochloride (substance),Selegiline (substance)|Selegiline hydrochloride (substance)
355,NCT00013624,Substance with glutamate receptor antagonist mechanism of action (substance)|Levodopa (substance)|Riluzole (substance),Substance with glutamate receptor antagonist mechanism of action (substance)|Catecholamine (substance)|Riluzole (substance)
356,NCT00013650,Cyclophosphamide (substance),Immunologic agent (substance)
357,NCT00014001,Anti-psychotic agent (substance)|Atypical psychosis (disorder)|Clozapine (substance)|Fluphenazine decanoate (substance)|Olanzapine (substance)|Perphenazine (substance)|Quetiapine (substance)|Risperidone (substance)|Ziprasidone (substance),Anti-psychotic agent (substance)|Atypical psychosis (disorder)|Clozapine (substance)|Fluphenazine decanoate (substance)|Olanzapine (substance)|Perphenazine (substance)|Quetiapine (substance)|Risperidone (substance)|Ziprasidone (substance)
358,NCT00014755,Antithymocyte immunoglobulin (substance)|Cyclophosphamide (substance)|Filgrastim (substance),Antibody (substance)|Immunologic agent (substance)|Colony stimulating factor (substance)
359,NCT00014989,Magnesium sulfate (substance),Laxative (substance)
360,NCT00015028,Buprenorphine (substance)|Naloxone (substance),Analgesic (substance)|Naloxone (substance)
361,NCT00015041,Buprenorphine (substance),Analgesic (substance)
362,NCT00015054,Methylphenidate (substance)|DPB1*3601 (substance),Methylphenidate (substance)|DPB1*3601 (substance)
363,NCT00015067,Cocaine (substance)|Methylphenidate (substance)|Dextran 40 (substance),Local anesthetic (substance)|Methylphenidate (substance)|Replacement agent (substance)
364,NCT00015080,Naltrexone (substance),Naltrexone (substance)
365,NCT00015106,Gabapentin (substance)|Lamotrigine (substance)|Reserpine (substance)|Methscopolamine (substance),Nutrients (substance)|Lamotrigine (substance)|Reserpine (substance)|Antispasmodic (substance)
