,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
427,NCT00000945,"leukoencephalopathy, progressive multifocal",22255007,Progressive multifocal leukoencephalopathy (disorder),2.4779,"[16058431000119104, 40733004]","['White matter disease (disorder)', 'Infectious disease (disorder)']",White matter disease (disorder)
428,NCT00000945,progressive multifocal leukoencephalopathy,22255007,Progressive multifocal leukoencephalopathy (disorder),0.0039,"[16058431000119104, 40733004]","['White matter disease (disorder)', 'Infectious disease (disorder)']",White matter disease (disorder)
429,NCT00000966,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
432,NCT00000966,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
433,NCT00000973,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
437,NCT00000973,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
439,NCT00001017,acquired immunodeficiency syndrome,62479008,Acquired immune deficiency syndrome (disorder),0.0,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
440,NCT00001017,acute cm,30328003,Acute myoendocarditis (disorder),11.9706,"[56265001, 128482007, 128487001]","['Heart disease (disorder)', 'Acute inflammatory disease (disorder)', 'Acute disease of cardiovascular system (disorder)']",Heart disease (disorder)
441,NCT00001017,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
443,NCT00001017,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
447,NCT00001048,"leukoencephalopathy, progressive multifocal",22255007,Progressive multifocal leukoencephalopathy (disorder),2.4779,"[16058431000119104, 40733004]","['White matter disease (disorder)', 'Infectious disease (disorder)']",White matter disease (disorder)
448,NCT00001048,progressive multifocal leukoencephalopathy,22255007,Progressive multifocal leukoencephalopathy (disorder),0.0039,"[16058431000119104, 40733004]","['White matter disease (disorder)', 'Infectious disease (disorder)']",White matter disease (disorder)
455,NCT00001234,fabry disease,16652001,Fabry's disease (disorder),0.005,"[1821000146108, 27550009, 42030000, 55342001, 95320005]","['Hereditary metabolic disease (disorder)', 'Disorder of blood vessel (disorder)', 'Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)', 'Disorder of skin (disorder)']",Hereditary metabolic disease (disorder)
464,NCT00001261,dermatomyositis,396230008,Dermatomyositis (disorder),0.0052,"[363168001, 95320005, 75047002]","['Inflammation of skin and/or subcutaneous tissue (disorder)', 'Disorder of skin (disorder)', 'Disorder of skeletal muscle (disorder)']",Inflammation of skin and/or subcutaneous tissue (disorder)
472,NCT00001262,menkes disease,59178007,Menkes kinky-hair syndrome (disorder),0.0055,"[276654001, 95320005, 88230002]","['Congenital malformation (disorder)', 'Disorder of skin (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
473,NCT00001262,menkes kinky hair syndrome,59178007,Menkes kinky-hair syndrome (disorder),1.5551,"[276654001, 95320005, 88230002]","['Congenital malformation (disorder)', 'Disorder of skin (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
474,NCT00001287,chronic inflammatory demyelinating polyneuropathy,128209004,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),0.0057,"[302226006, 128283000]","['Peripheral nerve disease (disorder)', 'Chronic nervous system disorder (disorder)']",Peripheral nerve disease (disorder)
475,NCT00001287,chronic inflammatory demylinating polyneuropathy,128209004,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),6.069,"[302226006, 128283000]","['Peripheral nerve disease (disorder)', 'Chronic nervous system disorder (disorder)']",Peripheral nerve disease (disorder)
488,NCT00001344,post-herpetic neuralgia,2177002,Postherpetic neuralgia (disorder),3.0707,"[17111003, 123948009, 363302008]","['Postinfectious neuralgia (disorder)', 'Disorder following viral disease (disorder)', 'Sequelae of neurological disorders (disorder)']",Postinfectious neuralgia (disorder)
492,NCT00001410,type 1 or type 3 gaucher disease,62201009,Chronic non-neuropathic Gaucher's disease (disorder),6.4935,"[1821000146108, 128289001]","['Hereditary metabolic disease (disorder)', 'Chronic metabolic disorder (disorder)']",Hereditary metabolic disease (disorder)
496,NCT00001416,i,44588005,I,9.1164,"[312413002, 115669006]","['Substance categorized by structure (substance)', 'Substance categorized by physical state (substance)']",I
497,NCT00001416,type 1 gaucher's disease,62201009,Chronic non-neuropathic Gaucher's disease (disorder),2.5906,"[1821000146108, 128289001]","['Hereditary metabolic disease (disorder)', 'Chronic metabolic disorder (disorder)']",Hereditary metabolic disease (disorder)
499,NCT00001416,type i gaucher's disease,62201009,Chronic non-neuropathic Gaucher's disease (disorder),1.7894,"[1821000146108, 128289001]","['Hereditary metabolic disease (disorder)', 'Chronic metabolic disorder (disorder)']",Hereditary metabolic disease (disorder)
500,NCT00001421,dermatomyositis,396230008,Dermatomyositis (disorder),0.0052,"[363168001, 95320005, 75047002]","['Inflammation of skin and/or subcutaneous tissue (disorder)', 'Disorder of skin (disorder)', 'Disorder of skeletal muscle (disorder)']",Inflammation of skin and/or subcutaneous tissue (disorder)
507,NCT00001483,breakthrough episodes of,699444008,Idiopathic paroxysmal sialorrhea (disorder),13.1129,"[50410009, 76712006, 41969006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)', 'Idiopathic disease (disorder)']",Disorder of upper digestive tract (disorder)
517,NCT00001520,paralysis,51928006,General paresis - neurosyphilis (disorder),8.5914,"[128293007, 40733004, 128283000]","['Chronic mental disorder (disorder)', 'Infectious disease (disorder)', 'Chronic nervous system disorder (disorder)']",Chronic mental disorder (disorder)
526,NCT00001658,autoimmune neuropsychiatric disorders,95643007,Autoimmune encephalitis (disorder),8.9709,"[85828009, 45170000]","['Autoimmune disease (disorder)', 'Encephalitis (disorder)']",Autoimmune disease (disorder)
533,NCT00001658,strep throat,43878008,Streptococcal sore throat (disorder),0.0044,"[232208008, 50410009, 76712006, 40733004, 128999004, 50043002]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)', 'Infectious disease (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of respiratory system (disorder)']","Ear, nose and throat disorder (disorder)"
534,NCT00001658,strep throat infections,43878008,Streptococcal sore throat (disorder),5.5952,"[232208008, 50410009, 76712006, 40733004, 128999004, 50043002]","['Ear, nose and throat disorder (disorder)', 'Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)', 'Infectious disease (disorder)', 'Inflammatory disorder of digestive tract (disorder)', 'Disorder of respiratory system (disorder)']","Ear, nose and throat disorder (disorder)"
538,NCT00001669,eae,27040004,Experimental allergic encephalomyelitis (disorder),11.2181,"[48522003, 45170000, 781474001]","['Spinal cord disorder (disorder)', 'Encephalitis (disorder)', 'Allergic disorder (disorder)']",Spinal cord disorder (disorder)
543,NCT00001723,impaired glucose tolerance,9414007,Impaired glucose tolerance (disorder),0.0068,"[237597000, 362969004]","['Disorder of glucose regulation (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose regulation (disorder)
544,NCT00001723,insulin resistance,763325000,Insulin resistance (disorder),0.0034,"[237597000, 362969004]","['Disorder of glucose regulation (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose regulation (disorder)
549,NCT00001723,sleep apnea syndromes,73430006,Sleep apnea (disorder),1.7621,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
550,NCT00001723,type 2 diabetes,44054006,Diabetes mellitus type 2 (disorder),2.965,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
555,NCT00001725,trigeminal nerve damage,72556006,Injury of trigeminal nerve (disorder),6.8018,"[282026002, 57182000, 302226006]","['Soft tissue injury (disorder)', 'Nerve injury (disorder)', 'Peripheral nerve disease (disorder)']",Soft tissue injury (disorder)
560,NCT00001768,early onset -,400179000,Precocious puberty (disorder),12.4904,"[362969004, 42030000]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)']",Disorder of endocrine system (disorder)
575,NCT00001785,early htlv-1-associated myelopathy,714279000,Myelopathy caused by Human T-lymphotropic virus 1 (disorder),7.0338,"[48522003, 40733004]","['Spinal cord disorder (disorder)', 'Infectious disease (disorder)']",Spinal cord disorder (disorder)
576,NCT00001785,ham/tsp,11244009,"Polyglandular autoimmune syndrome, type 1 (disorder)",11.1826,"[85828009, 362969004, 40733004]","['Autoimmune disease (disorder)', 'Disorder of endocrine system (disorder)', 'Infectious disease (disorder)']",Autoimmune disease (disorder)
579,NCT00001785,htlv-1 associated myelopathy,714279000,Myelopathy caused by Human T-lymphotropic virus 1 (disorder),2.9765,"[48522003, 40733004]","['Spinal cord disorder (disorder)', 'Infectious disease (disorder)']",Spinal cord disorder (disorder)
581,NCT00001785,"paraparesis, tropical spastic",714279000,Myelopathy caused by Human T-lymphotropic virus 1 (disorder),2.0023,"[48522003, 40733004]","['Spinal cord disorder (disorder)', 'Infectious disease (disorder)']",Spinal cord disorder (disorder)
585,NCT00001860,macroadenoma,254965007,Pituitary macroadenoma (disorder),9.5499,"[362969004, 55342001]","['Disorder of endocrine system (disorder)', 'Neoplastic disease (disorder)']",Disorder of endocrine system (disorder)
586,NCT00001860,macroadenomas,254965007,Pituitary macroadenoma (disorder),9.2822,"[362969004, 55342001]","['Disorder of endocrine system (disorder)', 'Neoplastic disease (disorder)']",Disorder of endocrine system (disorder)
587,NCT00001860,pituitary adenoma,254956000,Pituitary adenoma (disorder),0.0028,"[362969004, 55342001]","['Disorder of endocrine system (disorder)', 'Neoplastic disease (disorder)']",Disorder of endocrine system (disorder)
589,NCT00001860,surgery,44402007,Loss of teeth due to extraction (disorder),12.9254,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
601,NCT00001930,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[128293007, 15802004, 271700006, 75047002, 11164009, 128283000]","['Chronic mental disorder (disorder)', 'Dystonia (disorder)', 'Chorea (disorder)', 'Disorder of skeletal muscle (disorder)', 'Autosomal dominant hereditary disorder (disorder)', 'Chronic nervous system disorder (disorder)']",Chronic mental disorder (disorder)
613,NCT00001956,removal of third molars,707796002,Fusion of mandibular incisor teeth (disorder),12.6772,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
616,NCT00001994,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
617,NCT00001994,central nervous system (cns) toxoplasmosis,192701001,Toxoplasma encephalitis (disorder),5.3631,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
618,NCT00001994,cns toxoplasmosis,192701001,Toxoplasma encephalitis (disorder),5.5356,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
620,NCT00001994,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
621,NCT00002010,coccidioidal meningitis,46303000,Coccidioidal meningitis (disorder),0.0,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
622,NCT00002019,acquired immunodeficiency syndrome,62479008,Acquired immune deficiency syndrome (disorder),0.0,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
623,NCT00002019,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
624,NCT00002019,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
625,NCT00002040,acute cryptococcal meningitis,14232007,Cryptococcal meningitis (disorder),8.7972,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
626,NCT00002040,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
