,Neurological Disease,Source,Disease Class
417,Alcohol Induced Peripheral Neuropathy,MeSH,Neurotoxicity Syndromes
418,Alcohol Induced Persisting Amnestic Disorder,MeSH,Neurotoxicity Syndromes
419,Alcohol Induced Polyneuropathy,MeSH,Neurotoxicity Syndromes
420,Alcohol Related Autonomic Polyneuropathy,MeSH,Neurotoxicity Syndromes
421,Alcohol Related Polyneuropathy,MeSH,Neurotoxicity Syndromes
422,Alcohol Related Seizures,MeSH,Neurotoxicity Syndromes
423,Alcohol Withdrawal Delirium,MeSH,Neurotoxicity Syndromes
424,Alcohol Withdrawal Induced Delirium Tremens,MeSH,Neurotoxicity Syndromes
425,Alcohol Withdrawal Induced Seizure,MeSH,Neurotoxicity Syndromes
426,Alcohol Withdrawal Seizure,MeSH,Neurotoxicity Syndromes
427,Alcohol Withdrawal Seizures,MeSH,Neurotoxicity Syndromes
428,Alcohol Withdrawal-Induced Delirium Tremens,MeSH,Neurotoxicity Syndromes
429,Alcohol Withdrawal-Induced Seizure,MeSH,Neurotoxicity Syndromes
430,Alcohol Withdrawal-Induced Seizures,MeSH,Neurotoxicity Syndromes
431,Alcohol dependence,ICD,Diseases of the nervous system
432,"Alcohol dependence, current use, continuous",ICD,Diseases of the nervous system
433,"Alcohol dependence, current use, episodic",ICD,Diseases of the nervous system
434,"Alcohol dependence, early full remission",ICD,Diseases of the nervous system
435,"Alcohol dependence, sustained full remission",ICD,Diseases of the nervous system
436,"Alcohol dependence, sustained partial remission",ICD,Diseases of the nervous system
437,Alcohol intoxication,ICD,Diseases of the nervous system
438,Alcohol withdrawal,ICD,Diseases of the nervous system
439,Alcohol withdrawal with perceptual disturbances,ICD,Diseases of the nervous system
440,Alcohol withdrawal with perceptual disturbances and seizures,ICD,Diseases of the nervous system
441,Alcohol withdrawal with seizures,ICD,Diseases of the nervous system
442,"Alcohol withdrawal, uncomplicated",ICD,Diseases of the nervous system
443,Alcohol-Induced Amnestic Psychoses,MeSH,Neurotoxicity Syndromes
444,Alcohol-Induced Amnestic Psychosis,MeSH,Neurotoxicity Syndromes
445,Alcohol-Induced Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
446,Alcohol-Induced Amnestic Syndromes,MeSH,Neurotoxicity Syndromes
447,"Alcohol-Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
448,Alcohol-Induced Dysmnesic Psychoses,MeSH,Neurotoxicity Syndromes
449,Alcohol-Induced Dysmnesic Psychosis,MeSH,Neurotoxicity Syndromes
450,Alcohol-Induced Dysmnesic Syndrome,MeSH,Neurotoxicity Syndromes
451,Alcohol-Induced Dysmnesic Syndromes,MeSH,Neurotoxicity Syndromes
452,Alcohol-Induced Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
453,Alcohol-Induced Peripheral Neuropathies,MeSH,Neurotoxicity Syndromes
454,Alcohol-Induced Peripheral Neuropathy,MeSH,Neurotoxicity Syndromes
455,Alcohol-Induced Persisting Amnestic Disorder,MeSH,Neurotoxicity Syndromes
456,Alcohol-Induced Polyneuropathies,MeSH,Neurotoxicity Syndromes
457,Alcohol-Induced Polyneuropathy,MeSH,Neurotoxicity Syndromes
458,Alcohol-Related Autonomic Polyneuropathies,MeSH,Neurotoxicity Syndromes
459,Alcohol-Related Autonomic Polyneuropathy,MeSH,Neurotoxicity Syndromes
460,Alcohol-Related Polyneuropathies,MeSH,Neurotoxicity Syndromes
461,Alcohol-Related Polyneuropathy,MeSH,Neurotoxicity Syndromes
462,Alcohol-Related Seizure,MeSH,Neurotoxicity Syndromes
463,Alcohol-Related Seizures,MeSH,Neurotoxicity Syndromes
464,Alcohol-induced anxiety disorder,ICD,Diseases of the nervous system
465,Alcohol-induced delirium,ICD,Diseases of the nervous system
466,Alcohol-induced mood disorder,ICD,Diseases of the nervous system
467,Alcohol-induced mood disorder with depressive symptoms,ICD,Diseases of the nervous system
468,Alcohol-induced mood disorder with manic symptoms,ICD,Diseases of the nervous system
469,Alcohol-induced mood disorder with mixed depressive and manic symptoms,ICD,Diseases of the nervous system
470,Alcohol-induced psychotic disorder,ICD,Diseases of the nervous system
471,Alcohol-induced psychotic disorder with delusions,ICD,Diseases of the nervous system
472,Alcohol-induced psychotic disorder with hallucinations,ICD,Diseases of the nervous system
473,Alcohol-induced psychotic disorder with mixed psychotic symptoms,ICD,Diseases of the nervous system
474,Alcohol-related neurological disorders,ICD,Diseases of the nervous system
475,Alcoholic Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
476,Alcoholic Neuropathies,MeSH,Neurotoxicity Syndromes
477,Alcoholic Neuropathy,MeSH,Neurotoxicity Syndromes
478,Alcoholic Polyneuritides,MeSH,Neurotoxicity Syndromes
479,Alcoholic Polyneuritis,MeSH,Neurotoxicity Syndromes
480,Alcoholic Polyneuropathies,MeSH,Neurotoxicity Syndromes
481,Alcoholic Polyneuropathy,MeSH,Neurotoxicity Syndromes
482,Alcoholic Seizure,MeSH,Neurotoxicity Syndromes
483,Alcoholic Seizures,MeSH,Neurotoxicity Syndromes
484,Alcoholic Wernicke Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
485,Alcoholic Wernicke-Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
486,Alcoholic jealousy,ICD,Diseases of the nervous system
487,Alcoholic myopathy,ICD,Diseases of the nervous system
488,Alcoholic polyneuropathy,ICD,Diseases of the nervous system
489,"Alcoholic psychosis, paranoid type",ICD,Diseases of the nervous system
490,Alexander Disease,MeSH,Neurodegenerative Diseases
491,Alexander disease,ICD,Diseases of the nervous system
492,Alexander disease infantile form,ICD,Diseases of the nervous system
493,Alexander disease juvenile form,ICD,Diseases of the nervous system
494,Alexander's Disease,MeSH,Neurodegenerative Diseases
495,Alexanders Disease,MeSH,Neurodegenerative Diseases
496,Alexander’s disease adult form,ICD,Diseases of the nervous system
497,Alexia,ICD,Diseases of the nervous system
498,Alexia Syndrome Without Agraphia,MeSH,Neurologic Manifestations
499,Alexia Without Agraphia,MeSH,Neurologic Manifestations
500,Alexia Without Agraphias,MeSH,Neurologic Manifestations
501,"Alexia, Pure",MeSH,Neurologic Manifestations
502,"Alexias, Pure",MeSH,Neurologic Manifestations
503,Alice in Wonderland Syndrome,MeSH,Neurologic Manifestations
504,Alien Limb Phenomenon,MeSH,Neurologic Manifestations
505,Alien Limb Phenomenons,MeSH,Neurologic Manifestations
506,Alien Limb Syndrome,MeSH,Neurologic Manifestations
507,Alien Limb Syndromes,MeSH,Neurologic Manifestations
508,Allachesthesia,MeSH,Neurologic Manifestations
509,Allachesthesias,MeSH,Neurologic Manifestations
510,"Allergic Encephalomyelitis, Experimental",MeSH,Autoimmune Diseases of the Nervous System
511,"Allergic Neuritis, Experimental",MeSH,Autoimmune Diseases of the Nervous System
512,Allergic reaction to serum,ICD,Diseases of the nervous system
513,Allesthesia,MeSH,Neurologic Manifestations
514,Allesthesias,MeSH,Neurologic Manifestations
515,Allodynia,ICD,Diseases of the nervous system
516,Alloesthesia,MeSH,Neurologic Manifestations
517,Alloesthesias,MeSH,Neurologic Manifestations
518,Alobar holoprosencephaly,ICD,Diseases of the nervous system
519,Alogia,MeSH,Neurologic Manifestations
520,Alogias,MeSH,Neurologic Manifestations
521,Alpha B crystalline myopathy,ICD,Diseases of the nervous system
522,Alpha High Density Lipoprotein Deficiency Disease,MeSH,Neuromuscular Diseases
523,Alpha-Fucosidase Deficiency,MeSH,Central Nervous System Diseases
524,Alpha-Glucosidase Deficiencies,MeSH,Central Nervous System Diseases
525,"Alpha-Glucosidase Deficiencies, Acid",MeSH,Central Nervous System Diseases
526,Alpha-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
527,"Alpha-Glucosidase Deficiency, Acid",MeSH,Central Nervous System Diseases
528,Alstrom Hallgren Syndrome,MeSH,Nervous System Malformations
529,Alstrom Syndrome,MeSH,Nervous System Malformations
530,Alstrom's Syndrome,MeSH,Nervous System Malformations
531,Alstrom-Hallgren Syndrome,MeSH,Nervous System Malformations
532,Alstroms Syndrome,MeSH,Nervous System Malformations
533,Alström Syndrome,MeSH,Nervous System Malformations
534,Alternating hemiplegia,ICD,Diseases of the nervous system
535,Alternating hemiplegia of childhood,ICD,Diseases of the nervous system
536,"Alveolar Hypoventilation, Central",MeSH,Sleep Wake Disorders
537,"Alveolar Hypoventilations, Central",MeSH,Sleep Wake Disorders
538,Alzheimer Dementia,MeSH,Neurodegenerative Diseases
539,Alzheimer Dementias,MeSH,Neurodegenerative Diseases
540,Alzheimer Disease,MeSH,Neurodegenerative Diseases
541,Alzheimer Diseases,MeSH,Neurodegenerative Diseases
542,Alzheimer Sclerosis,MeSH,Neurodegenerative Diseases
543,Alzheimer Syndrome,MeSH,Neurodegenerative Diseases
544,Alzheimer Type Dementia,MeSH,Neurodegenerative Diseases
545,Alzheimer Type Dementia (ATD),MeSH,Neurodegenerative Diseases
546,Alzheimer Type Senile Dementia,MeSH,Neurodegenerative Diseases
547,Alzheimer disease,ICD,Diseases of the nervous system
548,Alzheimer disease dementia with depression,ICD,Diseases of the nervous system
549,Alzheimer disease dementia with psychosis,ICD,Diseases of the nervous system
550,"Alzheimer disease dementia, mixed type, with cerebrovascular disease",ICD,Diseases of the nervous system
551,"Alzheimer disease dementia, mixed type, with other nonvascular aetiologies",ICD,Diseases of the nervous system
552,Alzheimer disease without dementia,ICD,Diseases of the nervous system
553,Alzheimer's Disease,MeSH,Neurodegenerative Diseases
554,Alzheimer's Diseases,MeSH,Neurodegenerative Diseases
555,Alzheimer-Type Dementia (ATD),MeSH,Neurodegenerative Diseases
556,Alzheimers Diseases,MeSH,Neurodegenerative Diseases
557,Amaurosis Fugax,MeSH,Neurologic Manifestations
558,Amaurosis fugax,ICD,Diseases of the nervous system
559,Amblyopia,MeSH,Neurologic Manifestations
560,Amblyopias,MeSH,Neurologic Manifestations
561,"Ambulation Disorder, Neurologic",MeSH,Neurologic Manifestations
562,"Ambulation Disorders, Neurologic",MeSH,Neurologic Manifestations
563,Amelo-cerebro-hypohidrotic syndrome,ICD,Diseases of the nervous system
564,Amelo-onycho-hypohidrotic syndrome,ICD,Diseases of the nervous system
565,Amentia,MeSH,Central Nervous System Diseases
566,Amentias,MeSH,Central Nervous System Diseases
567,Amimia,ICD,Diseases of the nervous system
568,"Amino Acid Transport Disorder, Neutral",MeSH,Central Nervous System Diseases
569,Amish nemaline myopathy,ICD,Diseases of the nervous system
570,Amnesia,MeSH,Neurologic Manifestations
571,Amnesia Memory Loss,MeSH,Neurologic Manifestations
572,"Amnesia, Transient Global",MeSH,Central Nervous System Diseases
573,Amnesia-Memory Loss,MeSH,Neurologic Manifestations
574,Amnesia-Memory Losses,MeSH,Neurologic Manifestations
575,Amnesias,MeSH,Neurologic Manifestations
576,Amnesic Aphasia,MeSH,Neurologic Manifestations
577,"Amnestic Disorder, Alcohol",MeSH,Neurotoxicity Syndromes
578,"Amnestic Psychoses, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
579,"Amnestic Psychosis, Alcohol Induced",MeSH,Neurotoxicity Syndromes
580,"Amnestic Psychosis, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
581,"Amnestic Syndrome, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
582,"Amnestic Syndromes, Alcohol-Induced",MeSH,Neurotoxicity Syndromes
583,Amnestic aphasia,ICD,Diseases of the nervous system
584,Amnestic disorder,ICD,Diseases of the nervous system
585,Amnestic disorder due to diseases classified elsewhere,ICD,Diseases of the nervous system
586,Amnestic disorder due to multiple aetiological factors,ICD,Diseases of the nervous system
587,Amnestic disorder due to other specified psychoactive substance including medications,ICD,Diseases of the nervous system
588,Amnestic disorder due to psychoactive substances including medications,ICD,Diseases of the nervous system
589,Amnestic disorder due to use of alcohol,ICD,Diseases of the nervous system
590,"Amnestic disorder due to use of sedatives, hypnotics or anxiolytics",ICD,Diseases of the nervous system
591,Amnestic disorder due to use of volatile inhalants,ICD,Diseases of the nervous system
592,Amoebic abscess of brain and liver,ICD,Diseases of the nervous system
593,"Amoebic abscess of brain, liver, and lung",ICD,Diseases of the nervous system
594,Amoebic brain abscess,ICD,Diseases of the nervous system
595,Amphetamine abuse,ICD,Diseases of the nervous system
596,Amphetamine intoxication,ICD,Diseases of the nervous system
597,Amputation stump contracture,ICD,Diseases of the nervous system
598,Amputation stump haemorrhage,ICD,Diseases of the nervous system
599,Amputation stump oedema,ICD,Diseases of the nervous system
600,"Amstelodamensis, Typus Degenerativus",MeSH,Neurologic Manifestations
601,Amusia,ICD,Diseases of the nervous system
602,Amyelencephaly,ICD,Diseases of the nervous system
603,Amyelia,ICD,Diseases of the nervous system
604,"Amyloid Angiopathy, Cerebral",MeSH,Central Nervous System Diseases
605,Amyloid Neuropathies,MeSH,Neuromuscular Diseases
606,"Amyloid Neuropathies, Familial",MeSH,Neuromuscular Diseases
607,Amyloid Neuropathy,MeSH,Neuromuscular Diseases
608,"Amyloid Neuropathy, Familial",MeSH,Neuromuscular Diseases
609,Amyloid Polyneuropathies,MeSH,Neuromuscular Diseases
610,"Amyloid Polyneuropathies, Familial",MeSH,Neuromuscular Diseases
611,Amyloid Polyneuropathy,MeSH,Neuromuscular Diseases
612,"Amyloid Polyneuropathy, Familial",MeSH,Neuromuscular Diseases
613,Amyloid autonomic neuropathy,ICD,Diseases of the nervous system
614,"Amyloidoses, Hereditary Neuropathic",MeSH,Neuromuscular Diseases
615,"Amyloidosis, Hereditary Neuropathic",MeSH,Neuromuscular Diseases
616,Amyopathic dermatomyositis,ICD,Diseases of the nervous system
617,Amyopathic juvenile dermatomyositis,ICD,Diseases of the nervous system
618,Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
619,Amyotrophic lateral sclerosis,ICD,Diseases of the nervous system
620,Amyotrophic lateral sclerosis with autonomic dysfunction,ICD,Diseases of the nervous system
621,Amyotrophic lateral sclerosis with cerebellar dysfunction,ICD,Diseases of the nervous system
622,Amyotrophic lateral sclerosis with frontotemporal dementia,ICD,Diseases of the nervous system
623,Amyotrophic lateral sclerosis with multiple system atrophy,ICD,Diseases of the nervous system
624,Amyotrophic lateral sclerosis with parkinsonism,ICD,Diseases of the nervous system
625,Amyotrophic lateral sclerosis with spinocerebellar ataxia,ICD,Diseases of the nervous system
626,Amyotrophic lateral sclerosis-Plus,ICD,Diseases of the nervous system
627,Amyotrophic lateral sclerosis-parkinsonism-dementia complex of Guam,ICD,Diseases of the nervous system
628,Amyotrophic lateral sclerosis-parkinsonism-dementia complex of Kii Peninsula,ICD,Diseases of the nervous system
629,Amyotrophic lateral sclerosis-parkinsonism-dementia complex of West New Guinea,ICD,Diseases of the nervous system
630,"Amyotrophies, Spinal",MeSH,Neuromuscular Diseases
631,Amyotrophy,ICD,Diseases of the nervous system
632,"Amyotrophy, Spinal",MeSH,Neuromuscular Diseases
633,"Amyotrophy, Thenar, Of Carpal Origin",MeSH,Neuromuscular Diseases
634,Anacusis,ICD,Diseases of the nervous system
635,Anaesthesia of skin,ICD,Diseases of the nervous system
636,Anaesthetic death during delivery,ICD,Diseases of the nervous system
637,Anaesthetic death in pregnancy,ICD,Diseases of the nervous system
638,Anaesthetic death in the puerperium,ICD,Diseases of the nervous system
639,Analgesia,ICD,Diseases of the nervous system
640,"Analgesia, Congenital",MeSH,Neuromuscular Diseases
641,Analphalipoproteinemia,MeSH,Neuromuscular Diseases
642,Analphalipoproteinemias,MeSH,Neuromuscular Diseases
643,Anankastia in personality disorder or personality difficulty,ICD,Diseases of the nervous system
644,Anankastic personality disorder,ICD,Diseases of the nervous system
645,Anaphylactic shock due to serum,ICD,Diseases of the nervous system
646,Anarthria,ICD,Diseases of the nervous system
647,Anderson Fabry Disease,MeSH,Central Nervous System Diseases
648,Anderson-Fabry Disease,MeSH,Central Nervous System Diseases
