,Neurological Disease,Disease Class,Source
483,Neurogenic Communication Disorders,Diseases Category,MeSH
484,"Communication Disorder, Neurogenic",Diseases Category,MeSH
485,Neurogenic Communication Disorder,Diseases Category,MeSH
486,"Communication Disorders, Neurogenic",Diseases Category,MeSH
487,Communication Disabilities,Diseases Category,MeSH
488,Communication Disability,Diseases Category,MeSH
489,"Disabilities, Communication",Diseases Category,MeSH
490,"Disability, Communication",Diseases Category,MeSH
491,Acquired Communication Disorders,Diseases Category,MeSH
492,Acquired Communication Disorder,Diseases Category,MeSH
493,"Communication Disorder, Acquired",Diseases Category,MeSH
494,"Communication Disorders, Acquired",Diseases Category,MeSH
495,Language Disorder,Diseases Category,MeSH
496,Acquired Language Disorders,Diseases Category,MeSH
497,Acquired Language Disorder,Diseases Category,MeSH
498,"Language Disorder, Acquired",Diseases Category,MeSH
499,"Language Disorders, Acquired",Diseases Category,MeSH
500,"Disabilities, Learning",Diseases Category,MeSH
501,"Disability, Learning",Diseases Category,MeSH
502,Learning Disability,Diseases Category,MeSH
503,Developmental Academic Disability,Diseases Category,MeSH
504,"Academic Disabilities, Developmental",Diseases Category,MeSH
505,"Academic Disability, Developmental",Diseases Category,MeSH
506,Developmental Academic Disabilities,Diseases Category,MeSH
507,"Disabilities, Developmental Academic",Diseases Category,MeSH
508,"Disability, Developmental Academic",Diseases Category,MeSH
509,Scholastic Skills Development Disorders,Diseases Category,MeSH
510,Developmental Disabilities of Scholastic Skills,Diseases Category,MeSH
511,"Academic Disorder, Developmental",Diseases Category,MeSH
512,Developmental Academic Disorder,Diseases Category,MeSH
513,"Academic Disorders, Developmental",Diseases Category,MeSH
514,Developmental Academic Disorders,Diseases Category,MeSH
515,Developmental Disorders of Scholastic Skills,Diseases Category,MeSH
516,"Learning Disabilities, Adolescent",Diseases Category,MeSH
517,Adolescent Learning Disability,Diseases Category,MeSH
518,"Disabilities, Adolescent Learning",Diseases Category,MeSH
519,"Disability, Adolescent Learning",Diseases Category,MeSH
520,"Learning Disability, Adolescent",Diseases Category,MeSH
521,Adolescent Learning Disabilities,Diseases Category,MeSH
522,"Learning Disabilities, Child",Diseases Category,MeSH
523,Child Learning Disability,Diseases Category,MeSH
524,"Disabilities, Child Learning",Diseases Category,MeSH
525,"Disability, Child Learning",Diseases Category,MeSH
526,"Learning Disability, Child",Diseases Category,MeSH
527,Child Learning Disabilities,Diseases Category,MeSH
528,Adult Learning Disabilities,Diseases Category,MeSH
529,Adult Learning Disability,Diseases Category,MeSH
530,"Disabilities, Adult Learning",Diseases Category,MeSH
531,"Disability, Adult Learning",Diseases Category,MeSH
532,"Learning Disabilities, Adult",Diseases Category,MeSH
533,"Learning Disability, Adult",Diseases Category,MeSH
534,Adult Learning Disorders,Diseases Category,MeSH
535,Adult Learning Disorder,Diseases Category,MeSH
536,"Disorders, Adult Learning",Diseases Category,MeSH
537,"Learning Disorder, Adult",Diseases Category,MeSH
538,"Learning Disorders, Adult",Diseases Category,MeSH
539,Learning Disturbance,Diseases Category,MeSH
540,"Disturbance, Learning",Diseases Category,MeSH
541,"Disturbances, Learning",Diseases Category,MeSH
542,Learning Disturbances,Diseases Category,MeSH
543,Learning Disorders,Diseases Category,MeSH
544,"Disorder, Learning",Diseases Category,MeSH
545,"Disorders, Learning",Diseases Category,MeSH
546,Learning Disorder,Diseases Category,MeSH
547,Confusional State,Diseases Category,MeSH
548,Confusional States,Diseases Category,MeSH
549,"State, Confusional",Diseases Category,MeSH
550,"States, Confusional",Diseases Category,MeSH
551,Disorientation,Diseases Category,MeSH
552,"Confusion, Reactive",Diseases Category,MeSH
553,Reactive Confusion,Diseases Category,MeSH
554,Bewilderment,Diseases Category,MeSH
555,"Confusion, Post-Ictal",Diseases Category,MeSH
556,"Confusion, Post Ictal",Diseases Category,MeSH
557,Post-Ictal Confusion,Diseases Category,MeSH
558,Subacute Delirium,Diseases Category,MeSH
559,"Delirium, Subacute",Diseases Category,MeSH
560,"Deliriums, Subacute",Diseases Category,MeSH
561,Subacute Deliriums,Diseases Category,MeSH
562,Delirium of Mixed Origin,Diseases Category,MeSH
563,Mixed Origin Delirium,Diseases Category,MeSH
564,Mixed Origin Deliriums,Diseases Category,MeSH
565,Consciousness Disorder,Diseases Category,MeSH
566,Disorders of Consciousness,Diseases Category,MeSH
567,Disorder of Consciousness,Diseases Category,MeSH
568,"Consciousness, Level Depressed",Diseases Category,MeSH
569,Depressed Level of Consciousness,Diseases Category,MeSH
570,Semiconsciousness,Diseases Category,MeSH
571,"Consciousness, Level Altered",Diseases Category,MeSH
572,Altered Level of Consciousness,Diseases Category,MeSH
573,"Disabilities, Intellectual",Diseases Category,MeSH
574,Intellectual Disabilities,Diseases Category,MeSH
575,"Retardation, Mental",Diseases Category,MeSH
576,Intellectual Development Disorder,Diseases Category,MeSH
577,"Development Disorder, Intellectual",Diseases Category,MeSH
578,"Development Disorders, Intellectual",Diseases Category,MeSH
579,"Disorder, Intellectual Development",Diseases Category,MeSH
580,"Disorders, Intellectual Development",Diseases Category,MeSH
581,Intellectual Development Disorders,Diseases Category,MeSH
582,Mental Retardation,Diseases Category,MeSH
583,"Disability, Intellectual",Diseases Category,MeSH
584,Idiocy,Diseases Category,MeSH
585,"Mental Retardation, Psychosocial",Diseases Category,MeSH
586,"Mental Retardations, Psychosocial",Diseases Category,MeSH
587,Psychosocial Mental Retardation,Diseases Category,MeSH
588,Psychosocial Mental Retardations,Diseases Category,MeSH
589,"Retardation, Psychosocial Mental",Diseases Category,MeSH
590,"Retardations, Psychosocial Mental",Diseases Category,MeSH
591,"Deficiency, Mental",Diseases Category,MeSH
592,"Deficiencies, Mental",Diseases Category,MeSH
593,Mental Deficiencies,Diseases Category,MeSH
594,Mental Deficiency,Diseases Category,MeSH
595,Cri du Chat Syndrome,Diseases Category,MeSH
596,Cri-du-Chat Syndromes,Diseases Category,MeSH
597,"Syndrome, Cri-du-Chat",Diseases Category,MeSH
598,"Syndromes, Cri-du-Chat",Diseases Category,MeSH
599,Chromosome 5p- Syndrome,Diseases Category,MeSH
600,"5p- Syndrome, Chromosome",Diseases Category,MeSH
601,"5p- Syndromes, Chromosome",Diseases Category,MeSH
602,Chromosome 5p- Syndromes,Diseases Category,MeSH
603,"Syndrome, Chromosome 5p-",Diseases Category,MeSH
604,"Syndromes, Chromosome 5p-",Diseases Category,MeSH
605,5p Deletion Syndrome,Diseases Category,MeSH
606,5p Deletion Syndromes,Diseases Category,MeSH
607,"Deletion Syndrome, 5p",Diseases Category,MeSH
608,"Deletion Syndromes, 5p",Diseases Category,MeSH
609,"Syndrome, 5p Deletion",Diseases Category,MeSH
610,"Syndromes, 5p Deletion",Diseases Category,MeSH
611,5p Minus Syndrome,Diseases Category,MeSH
612,5p Minus Syndromes,Diseases Category,MeSH
613,"Minus Syndrome, 5p",Diseases Category,MeSH
614,"Minus Syndromes, 5p",Diseases Category,MeSH
615,"Syndrome, 5p Minus",Diseases Category,MeSH
616,"Syndromes, 5p Minus",Diseases Category,MeSH
617,Deletion of Short Arm of Chromosome 5 Syndrome,Diseases Category,MeSH
618,5p- Syndrome,Diseases Category,MeSH
619,5p Syndrome,Diseases Category,MeSH
620,5p- Syndromes,Diseases Category,MeSH
621,"Syndrome, 5p-",Diseases Category,MeSH
622,Chromosome 5p Deletion Syndrome,Diseases Category,MeSH
623,Cat Cry Syndrome,Diseases Category,MeSH
624,Cat Cry Syndromes,Diseases Category,MeSH
625,"Syndrome, Cat Cry",Diseases Category,MeSH
626,"Syndromes, Cat Cry",Diseases Category,MeSH
627,Crying Cat Syndrome,Diseases Category,MeSH
628,Crying Cat Syndromes,Diseases Category,MeSH
629,"Syndrome, Crying Cat",Diseases Category,MeSH
630,"Syndromes, Crying Cat",Diseases Category,MeSH
631,Chromosome 5 Short Arm Deletion Syndrome,Diseases Category,MeSH
632,Cornelia De Lange Syndrome,Diseases Category,MeSH
633,Brachmann-De Lange Syndrome,Diseases Category,MeSH
634,Brachmann De Lange Syndrome,Diseases Category,MeSH
635,"Syndrome, Brachmann-De Lange",Diseases Category,MeSH
636,Typus Degenerativus Amstelodamensis,Diseases Category,MeSH
637,"Amstelodamensis, Typus Degenerativus",Diseases Category,MeSH
638,De Lange's Syndrome,Diseases Category,MeSH
639,Cornelia de Lange Syndrome 2,Diseases Category,MeSH
640,"CdLS, X-Linked",Diseases Category,MeSH
641,"CdLS, X Linked",Diseases Category,MeSH
642,"CdLSs, X-Linked",Diseases Category,MeSH
643,X-Linked CdLS,Diseases Category,MeSH
644,X-Linked CdLSs,Diseases Category,MeSH
645,CdLS2,Diseases Category,MeSH
646,"Cornelia de Lange Syndrome, X-Linked",Diseases Category,MeSH
647,"Cornelia de Lange Syndrome, X Linked",Diseases Category,MeSH
648,Cornelia de Lange Syndrome 3,Diseases Category,MeSH
649,Cornelia de Lange Syndrome 1,Diseases Category,MeSH
650,"Syndrome, Down",Diseases Category,MeSH
651,Mongolism,Diseases Category,MeSH
652,"47,XY,+21",Diseases Category,MeSH
653,Trisomy G,Diseases Category,MeSH
654,"47,XX,+21",Diseases Category,MeSH
655,Down's Syndrome,Diseases Category,MeSH
656,Downs Syndrome,Diseases Category,MeSH
657,"Syndrome, Down's",Diseases Category,MeSH
658,Trisomy 21,Diseases Category,MeSH
659,"Trisomy 21, Mitotic Nondisjunction",Diseases Category,MeSH
660,"Down Syndrome, Partial Trisomy 21",Diseases Category,MeSH
661,Partial Trisomy 21 Down Syndrome,Diseases Category,MeSH
662,"Trisomy 21, Meiotic Nondisjunction",Diseases Category,MeSH
663,"Mental Retardation, X Linked",Diseases Category,MeSH
664,"Retardation, X-Linked Mental",Diseases Category,MeSH
665,X-Linked Mental Retardations,Diseases Category,MeSH
666,X-Linked Mental Retardation Syndromes,Diseases Category,MeSH
667,X Linked Mental Retardation Syndromes,Diseases Category,MeSH
668,X-Linked Mental Retardation Disorders,Diseases Category,MeSH
669,X Linked Mental Retardation Disorders,Diseases Category,MeSH
670,X-Linked Mental Retardation,Diseases Category,MeSH
671,X Linked Mental Retardation,Diseases Category,MeSH
672,Prader Willi Syndrome,Diseases Category,MeSH
673,"Syndrome, Prader-Willi",Diseases Category,MeSH
674,Prader-Labhart-Willi Syndrome,Diseases Category,MeSH
675,"Syndrome, Prader-Labhart-Willi",Diseases Category,MeSH
676,Willi-Prader Syndrome,Diseases Category,MeSH
677,"Syndrome, Willi-Prader",Diseases Category,MeSH
678,Willi Prader Syndrome,Diseases Category,MeSH
679,Prader Labhart Willi Syndrome,Diseases Category,MeSH
680,Labhart-Willi Syndrome,Diseases Category,MeSH
681,Labhart Willi Syndrome,Diseases Category,MeSH
682,"Syndrome, Labhart-Willi",Diseases Category,MeSH
683,Labhart-Willi-Prader-Fanconi Syndrome,Diseases Category,MeSH
684,Labhart Willi Prader Fanconi Syndrome,Diseases Category,MeSH
685,"Syndrome, Labhart-Willi-Prader-Fanconi",Diseases Category,MeSH
686,Royer Syndrome,Diseases Category,MeSH
687,"Syndrome, Royer",Diseases Category,MeSH
688,Royer's Syndrome,Diseases Category,MeSH
689,Royers Syndrome,Diseases Category,MeSH
690,"Syndrome, Royer's",Diseases Category,MeSH
691,Rubinstein Taybi Syndrome,Diseases Category,MeSH
692,"Syndrome, Rubinstein-Taybi",Diseases Category,MeSH
693,Broad Thumb-Hallux Syndrome,Diseases Category,MeSH
694,Broad Thumb Hallux Syndrome,Diseases Category,MeSH
695,Broad Thumb-Hallux Syndromes,Diseases Category,MeSH
696,"Syndrome, Broad Thumb-Hallux",Diseases Category,MeSH
697,"Syndromes, Broad Thumb-Hallux",Diseases Category,MeSH
698,"Broad Thumbs and Great Toes, Characteristic Facies, and Mental Retardation",Diseases Category,MeSH
699,Rubinstein Syndrome,Diseases Category,MeSH
700,"Syndrome, Rubinstein",Diseases Category,MeSH
701,Patau Syndrome,Diseases Category,MeSH
702,Patau's Syndrome,Diseases Category,MeSH
703,Pataus Syndrome,Diseases Category,MeSH
704,Trisomy 13 Syndromes,Diseases Category,MeSH
705,Bartholin-Patau Syndrome,Diseases Category,MeSH
706,Bartholin Patau Syndrome,Diseases Category,MeSH
707,Chromosome 13 Trisomy Syndrome,Diseases Category,MeSH
708,Chromosome 13 Duplication,Diseases Category,MeSH
709,Chromosome 13 Duplications,Diseases Category,MeSH
710,"Duplication, Chromosome 13",Diseases Category,MeSH
711,Trisomy 13,Diseases Category,MeSH
712,Complete Trisomy 13 Syndrome,Diseases Category,MeSH
713,Mosaic Trisomy 13 Syndrome,Diseases Category,MeSH
714,"Syndrome, WAGR",Diseases Category,MeSH
715,WAGR Syndromes,Diseases Category,MeSH
716,Wilms Tumor-Aniridia-Genitourinary Anomalies-MR Syndrome,Diseases Category,MeSH
717,WAGR Complex,Diseases Category,MeSH
718,"Complex, WAGR",Diseases Category,MeSH
719,WAGR Complices,Diseases Category,MeSH
720,WAGR Contiguous Gene Syndrome,Diseases Category,MeSH
721,Wilms Tumor-Aniridia-Genital Anomalies-Retardation Syndrome,Diseases Category,MeSH
722,Wilms Tumor-Aniridia-Gonadoblastoma-Mental Retardation Syndrome,Diseases Category,MeSH
723,"Wilms Tumor, Aniridia, Genitourinary Anomalies, And Mental Retardation Syndrome",Diseases Category,MeSH
724,Chromosome 11p13 Deletion Syndrome,Diseases Category,MeSH
725,11p Partial Monosomy Syndrome,Diseases Category,MeSH
726,"Contiguous Gene Syndrome, WAGR",Diseases Category,MeSH
727,"Wilms Tumor, Aniridia, Genitourinary Anomalies, Mental Retardation Syndrome",Diseases Category,MeSH
728,"Syndrome, Williams",Diseases Category,MeSH
729,"Contiguous Gene Syndrome, Williams",Diseases Category,MeSH
730,Supravalvar Aortic Stenosis Syndrome,Diseases Category,MeSH
731,Chromosome 7q11.23 Deletion Syndrome,Diseases Category,MeSH
732,Beuren Syndrome,Diseases Category,MeSH
733,"Syndrome, Beuren",Diseases Category,MeSH
734,Hypercalcemia-Supravalvar Aortic Stenosis,Diseases Category,MeSH
735,"Aortic Stenoses, Hypercalcemia-Supravalvar",Diseases Category,MeSH
736,"Aortic Stenosis, Hypercalcemia-Supravalvar",Diseases Category,MeSH
737,Hypercalcemia Supravalvar Aortic Stenosis,Diseases Category,MeSH
738,Hypercalcemia-Supravalvar Aortic Stenoses,Diseases Category,MeSH
739,"Stenoses, Hypercalcemia-Supravalvar Aortic",Diseases Category,MeSH
740,"Stenosis, Hypercalcemia-Supravalvar Aortic",Diseases Category,MeSH
741,Williams-Beuren Syndrome,Diseases Category,MeSH
742,"Syndrome, Williams-Beuren",Diseases Category,MeSH
743,Williams Beuren Syndrome,Diseases Category,MeSH
744,Williams Contiguous Gene Syndrome,Diseases Category,MeSH
745,Manias,Diseases Category,MeSH
746,Manic State,Diseases Category,MeSH
747,Hypomanic Episode,Diseases Category,MeSH
748,Hypomanic Episodes,Diseases Category,MeSH
749,Hypomania,Diseases Category,MeSH
750,Hypomanias,Diseases Category,MeSH
751,Manic Episode,Diseases Category,MeSH
752,"Episode, Manic",Diseases Category,MeSH
753,Manic Episodes,Diseases Category,MeSH
754,Memory Disorder,Diseases Category,MeSH
755,"Retention Disorders, Cognitive",Diseases Category,MeSH
756,Cognitive Retention Disorder,Diseases Category,MeSH
757,Cognitive Retention Disorders,Diseases Category,MeSH
758,"Retention Disorder, Cognitive",Diseases Category,MeSH
759,Memory Loss,Diseases Category,MeSH
760,Memory Losses,Diseases Category,MeSH
761,"Memory Disorder, Semantic",Diseases Category,MeSH
762,"Memory Disorders, Semantic",Diseases Category,MeSH
763,Semantic Memory Disorders,Diseases Category,MeSH
764,Semantic Memory Disorder,Diseases Category,MeSH
765,"Memory Disorder, Spatial",Diseases Category,MeSH
766,"Memory Disorders, Spatial",Diseases Category,MeSH
767,Spatial Memory Disorders,Diseases Category,MeSH
768,Spatial Memory Disorder,Diseases Category,MeSH
769,Age-Related Memory Disorders,Diseases Category,MeSH
770,Age Related Memory Disorders,Diseases Category,MeSH
771,Age-Related Memory Disorder,Diseases Category,MeSH
772,"Memory Disorder, Age-Related",Diseases Category,MeSH
773,"Memory Disorders, Age-Related",Diseases Category,MeSH
774,"Memory Disorders, Age Related",Diseases Category,MeSH
775,Memory Deficits,Diseases Category,MeSH
776,"Deficit, Memory",Diseases Category,MeSH
777,"Deficits, Memory",Diseases Category,MeSH
778,Memory Deficit,Diseases Category,MeSH
779,Amnesias,Diseases Category,MeSH
780,Amnesia-Memory Loss,Diseases Category,MeSH
781,Amnesia Memory Loss,Diseases Category,MeSH
782,Amnesia-Memory Losses,Diseases Category,MeSH
783,"Amnesia, Global",Diseases Category,MeSH
784,"Amnesias, Global",Diseases Category,MeSH
785,Global Amnesia,Diseases Category,MeSH
